author_id,comment_id,post_id,author_name,link_karma,comment_karma,acc_creation_date,is_gold,is_mod,is_employee
2vx2xcyw,ij6atus,whmd3y,sneakpeek_bot,135,73171,2018-12-30 11:53:52+08:00,False,True,False
n9wj4,ij61c7f,whjhzy,MadKyaw,13449,58925,2015-05-04 11:32:09+08:00,False,False,False
cye9cwy4,ij60r53,whjhzy,PastLettuce8943,74,17502,2021-06-27 04:16:09+08:00,False,False,False
56yhqpnn,ij65e9u,whjhzy,zhatya,1,889,2020-11-09 11:41:43+08:00,False,False,False
j4so6,ij613b3,whjhzy,Adnans_cell,4001,56057,2014-10-31 14:38:21+08:00,False,True,False
l9ews,ij64d51,whjhzy,LostMyMag,3988,15130,2015-02-10 03:10:56+08:00,False,False,False
yaw7xwj,ij64klc,whjhzy,LaZZyBird,864,71163,2018-02-23 21:02:05+08:00,False,False,False
mx8kbknv,ij5y1co,whjhzy,_theLomax_,1,7095,2022-05-10 17:32:37+08:00,False,False,False
p5whpip0,ij63zpd,whjhzy,Eternal_Stillth,1,80,2022-06-26 05:14:34+08:00,False,False,False
6r2909,ij67h8f,whjhzy,lazerspewpew86,8,40898,2017-12-01 20:44:01+08:00,False,False,False
502ir03o,ij69l9p,whjhzy,SuccessfulSaladBowl,55,844,2021-11-16 13:05:32+08:00,False,False,False
h9ovkc55,ij64k5x,whjhzy,Wastingrice,1,718,2022-06-03 01:43:10+08:00,False,False,False
m1dvn,ij5yu41,whjhzy,CSlv,1365,123332,2015-03-11 02:48:34+08:00,False,False,False
